temperature,egg,instar1,instar2,instar3,pupa
12,0,0,0,0,0
14,0.009713147,0.005853338,0.006603026,0.005957397,0.002752391
16,0.020967083,0.012635186,0.014253485,0.012859811,0.005941391
18,0.033168347,0.019987912,0.022547941,0.020343253,0.009398834
20,0.045623759,0.027493794,0.031015166,0.027982572,0.012928293
22,0.057495441,0.034647908,0.039085571,0.03526387,0.016292343
24,0.067720168,0.040809534,0.046036371,0.041535036,0.019189699
26,0.074846956,0.045104279,0.050881182,0.045906133,0.021209199
28,0.076647916,0.046189574,0.05210548,0.047010722,0.021719533
30,0.068862033,0.041497645,0.046812614,0.04223538,0.019513266
32,0.036499007,0.021995035,0.024812133,0.022386058,0.010342635